ID,Time,Title,Course ID
3170,MW: 1:30PM-2:45PM,African-American History,AMST-209-01
3191,TR: 2:55PM-4:10PM,Anthropology of Museums,AMST-271-01
3252,MW: 2:55PM-4:10PM,Born in Blood,AMST-285-01
3182,TR: 9:25AM-10:40AM,Early American Women's Lit,AMST-307-01
3172,TR: 10:50AM-12:05PM,Abolition: A Global History,AMST-315-01
3174,MW: 10:00AM-11:15AM,Sports and American Society,AMST-340-01
2355,TR: 10:50AM-12:05PM,Race and Urban Space,AMST-357-01
1416,TBA,Independent Study,AMST-399-01
3175,R: 6:30PM-9:00PM,"Race, Gender, Global Security",AMST-409-01
3080,T: 6:30PM-9:00PM,Black Women Writers,AMST-445-01
1449,TBA,Teaching Assistantship,AMST-466-01
1542,TBA,Research Assistantship,AMST-490-01
3359,TBA,Senior Thesis Part 1,AMST-498-01
2745,W: 6:30PM-9:00PM,Approaches to American Studies,AMST-801-01
3177,R: 6:30PM-9:00PM,"Race, Gender, Global Security",AMST-809-01
3079,T: 6:30PM-9:00PM,Black Women Writers,AMST-845-01
1565,TBA,Museums and Communities Intern,AMST-894-01
1441,TBA,Independent Study,AMST-940-01
1437,TBA,Research Project,AMST-953-01
1438,TBA,Thesis Part I,AMST-954-01
1440,TBA,Thesis Part II,AMST-955-01
1439,TBA,Thesis,AMST-956-01
