ID,Time,Title,Course ID
2498,TR: 9:25AM-10:40AM,Genes Clones & Biotechnl,BIOL-120-01
1543,MWF: 10:00AM-10:50AM,Evolution of Life,BIOL-182-01
1544,MWF: 11:00AM-11:50AM,Evolution of Life,BIOL-182-02
1545,T: 1:30PM-4:10PM,Evolution of Life,BIOL-182-20
1546,T: 9:25AM-12:05PM,Evolution of Life,BIOL-182-21
1547,R: 1:30PM-4:10PM,Evolution of Life,BIOL-182-22
1720,W: 1:30PM-4:10PM,Evolution of Life,BIOL-182-23
1730,R: 9:25AM-12:05PM,Evolution of Life,BIOL-182-24
3294,T: 1:30PM-4:10PM,Evolution of Life,BIOL-182-25
2441,M: 1:30PM-4:10PM,Evolution of Life,BIOL-182-26
3038,MWF: 12:00PM-12:50PM,Histophysiology,BIOL-206-01
3039,W: 1:30PM-4:10PM,Histophysiology,BIOL-206-20
3040,TR: 9:25AM-10:40AM,Botany,BIOL-215-01
3041,R: 1:30PM-4:10PM,Botany,BIOL-215-20
2101,TR: 9:25AM-10:40AM,Molecular Biology,BIOL-226-01
2102,T: 1:30PM-4:10PM,Molecular Biology,BIOL-226-20
3042,TR: 10:50AM-12:05PM,Biochemistry,BIOL-317-01
3043,R: 1:30PM-4:10PM,Biochemistry,BIOL-317-20
3044,TR: 9:25AM-10:40AM,Biochemistry,BIOL-317-21
2411,T: 1:30PM-4:10PM,Animal Physiology,BIOL-319-01
2412,TR: 10:50AM-12:05PM,Animal Physiology,BIOL-319-20
1927,R: 1:30PM-4:10PM,Ecology,BIOL-333-01
1928,TBA,Ecology,BIOL-333-20
1508,F: 1:30PM-3:30PM,Independent Study,BIOL-399-01
1929,TBA,Research Seminar,BIOL-403-01
1509,TBA,Research in Biology - Lib,BIOL-419-01
1875,R: 1:30PM-4:10PM,Research Biology,BIOL-425-01
2611,T: 6:30PM-9:00PM,Signaling in Stress & Disease,BIOL-431-01
3045,TBA,Molecular Genetics,BIOL-464-01
