ID,Time,Title,Course ID
2516,MWF: 11:00AM-11:50AM,Intro Chemistry I & Lab,CHEM-111-01
2517,MWF: 9:00AM-9:50AM,Intro Chemistry I & Lab,CHEM-111-02
2518,MWF: 9:00AM-9:50AM,Intro Chemistry I & Lab,CHEM-111-03
2519,MWF: 10:00AM-10:50AM,Intro Chemistry I & Lab,CHEM-111-04
2557,MWF: 10:00AM-10:50AM,Intro Chemistry I & Lab,CHEM-111-05
2558,MWF: 11:00AM-11:50AM,Intro Chemistry I & Lab,CHEM-111-06
2559,MWF: 11:00AM-11:50AM,Intro Chemistry I & Lab,CHEM-111-07
2520,M: 1:30PM-4:10PM,Intro Chemistry I & Lab,CHEM-111-20
2521,T: 8:30AM-11:10AM,Intro Chemistry I & Lab,CHEM-111-21
2522,T: 1:30PM-4:10PM,Intro Chemistry I & Lab,CHEM-111-22
2523,W: 1:30PM-4:10PM,Intro Chemistry I & Lab,CHEM-111-23
2524,W: 6:30PM-9:10PM,Intro Chemistry I & Lab,CHEM-111-24
2525,R: 8:30AM-11:10AM,Intro Chemistry I & Lab,CHEM-111-25
2560,R: 1:30PM-4:10PM,Intro Chemistry I & Lab,CHEM-111-26
2526,MWF: 8:00AM-8:50AM,Elem Organic Chem I & Lab,CHEM-211-01
2527,MWF: 11:00AM-11:50AM,Elem Organic Chem I & Lab,CHEM-211-02
2528,M: 1:30PM-4:10PMM: 1:30PM-4:10PM,Elem Organic Chem I & Lab,CHEM-211-20
2529,T: 1:30PM-4:10PMT: 1:30PM-4:10PM,Elem Organic Chem I & Lab,CHEM-211-21
2530,W: 1:30PM-4:10PMW: 1:30PM-4:10PM,Elem Organic Chem I & Lab,CHEM-211-22
3036,R: 1:30PM-4:10PMR: 1:30PM-4:10PM,Elem Organic Chem I & Lab,CHEM-211-23
1003,MWF: 9:00AM-9:50AM,Physical Chemistry I,CHEM-309-01
1004,M: 1:30PM-4:10PM,Physical Chemistry I,CHEM-309-20
1516,MWF: 10:00AM-10:50AM,Analytical Chemistry,CHEM-311-01
1517,T: 1:30PM-4:10PM,Analytical Chemistry,CHEM-311-20
1005,TR: 8:00AM-9:15AM,Princ Inorganic Chem,CHEM-313-01
3336,TBA,Independent Study,CHEM-399-01
3046,TR: 9:25AM-10:40AM,Nuclear Magnet Resonance,CHEM-418-01
1502,F: 1:15PM-3:55PM,Research (Laboratory),CHEM-425-01
1450,TBA,Teaching Assistant,CHEM-466-01
3365,TBA,Senior Thesis Part 1,CHEM-498-01
