ID,Time,Title,Course ID
3132,MW: 8:30AM-9:45AM,Essentials of Computing-Python,CPSC-110-01
1006,MWF: 9:00AM-9:50AM,Intro to Computer Science,CPSC-115-01
1007,T: 1:30PM-4:10PM,Intro to Computer Science,CPSC-115-20
1008,W: 1:30PM-4:10PM,Intro to Computer Science,CPSC-115-21
3133,TR: 10:50AM-12:05PM,Math Foundatns of Comput,CPSC-203-01
2413,MWF: 10:00AM-10:50AM,Data Structures & Algorithms,CPSC-215-01
2414,W: 1:30PM-4:10PM,Data Structures & Algorithms,CPSC-215-20
2415,R: 1:30PM-4:10PM,Data Structures & Algorithms,CPSC-215-21
1558,MWF: 9:00AM-9:50AM,Intro to Computer Systems,CPSC-275-01
1559,T: 1:30PM-4:10PM,Intro to Computer Systems,CPSC-275-20
2039,MW: 6:30PM-7:45PM,Intro to Computer Systems,CPSC-275-21
3306,MWF: 10:00AM-10:50AM,Software Design,CPSC-310-01
3134,TR: 8:00AM-9:15AM,Analysis of Algorithms,CPSC-320-01
3135,TBA,Deep Learning,CPSC-360-01
1451,T: 9:25AM-10:40AM,Independent Study,CPSC-399-01
3477,TBA,Computer Science Seminar,CPSC-403-01
1526,TBA,Teaching Assistant,CPSC-466-01
2932,TBA,Research Assistantship,CPSC-490-01
