ID,Time,Title,Course ID
1381,MWF: 9:00AM-9:50AM,Basic Economic Principles,ECON-101-01
1382,MWF: 10:00AM-10:50AM,Basic Economic Principles,ECON-101-02
2135,MWF: 11:00AM-11:50AM,Basic Economic Principles,ECON-101-03
3196,TR: 2:55PM-4:10PM,Basic Economic Principles,ECON-101-04
1935,MW: 2:55PM-4:10PM,Fundamentals of Accounting,ECON-103-01
3199,TR: 1:30PM-2:45PM,Contemporary Micro Issues,ECON-210-01
1936,MWF: 12:00PM-12:50PM,Intro to Stats for Econ,ECON-218-01
3200,MW: 1:30PM-2:45PM,Macroeconomics and Inequality,ECON-224-01
3226,TR: 6:30PM-7:45PM,The Economics of Urban Growth,ECON-229-01
2739,TR: 10:50AM-12:05PM,The Economics of Gender,ECON-235-01
3201,WF: 1:30PM-2:45PM,Big Data and Economics,ECON-252-01
1452,TBA,Independent Study,ECON-299-01
1010,MWF: 9:00AM-9:50AM,Microeconomic Theory,ECON-301-01
1490,MWF: 10:00AM-10:50AM,Microeconomic Theory,ECON-301-02
1011,MWF: 10:00AM-10:50AM,Macroeconomic Theory,ECON-302-01
2136,MWF: 11:00AM-11:50AM,Macroeconomic Theory,ECON-302-02
3197,MW: 2:55PM-4:10PM,Macroeconomic Theory,ECON-302-03
3202,TR: 9:25AM-10:40AM,Labor Economics,ECON-303-01
3203,TR: 8:00AM-9:15AM,Health Economics,ECON-307-01
2361,TR: 10:50AM-12:05PM,Industrial Organization,ECON-308-01
1722,TR: 9:25AM-10:40AM,Corporate Finance,ECON-309-01
3198,TR: 10:50AM-12:05PM,Corporate Finance,ECON-309-02
2038,MW: 1:30PM-2:45PM,Money & Banking,ECON-310-01
2362,TR: 10:50AM-12:05PM,Mathematical Economics,ECON-312-01
1937,MWF: 9:00AM-9:50AM,International Trade,ECON-315-01
2688,TBA,Basic Econometrics with Lab,ECON-318-01
2689,MW: 1:30PM-2:45PM,Basic Econometrics with Lab,ECON-318-20
3231,TR: 2:55PM-4:10PM,The Modern Macroeconomy,ECON-319-01
3204,TR: 9:25AM-10:40AM,Game Theory,ECON-327-01
3344,TR: 1:30PM-2:45PM,Appld Econometrics:Micro-econo,ECON-328-01
2738,TR: 2:55PM-4:10PM,Behavioral Economics,ECON-344-01
3228,TBA,Economic History of US South,ECON-356-01
1453,TBA,Independent Study,ECON-399-01
1549,TBA,Ind Study in Quantitative Apps,ECON-401-01
3444,TR: 1:30PM-2:45PM,Senior Thesis Seminar Part I,ECON-402-01
3206,MW: 10:00AM-11:15AM,Internal Labor Markets,ECON-431-27
3205,MW: 2:55PM-4:10PM,Central Banking and Inflation,ECON-431-33
2691,F: 1:30PM-4:10PM,How Economies Grow,ECON-431-36
3207,TBA,Drug Policy,ECON-431-59
1454,TBA,Teaching Assistant,ECON-466-01
3240,TBA,Research Assistant,ECON-490-01
