ID,Time,Title,Course ID
2692,TR: 1:30PM-2:45PM,"This American Experiment, Pt 1",ENGL-104-01
3253,MW: 8:30AM-9:45AM,Who Are Your People?,ENGL-106-01
1404,TR: 9:25AM-10:40AM,Inventing English Literature,ENGL-110-01
3069,MW: 1:30PM-2:45PM,Inventing English Literature,ENGL-110-02
3070,TR: 2:55PM-4:10PM,Unveiled: Early Black Voices,ENGL-116-01
3071,TR: 8:00AM-9:15AM,The Rom Com,ENGL-231-01
3178,TR: 8:00AM-9:15AM,The Rom Com,ENGL-231-02
1727,TR: 10:50AM-12:05PM,Intro Literary Studies,ENGL-260-01
1728,MW: 2:55PM-4:10PM,Intro Literary Studies,ENGL-260-02
2064,MW: 1:30PM-2:45PM,Intro Literary Studies,ENGL-260-03
3072,TR: 1:30PM-2:45PM,Intro Literary Studies,ENGL-260-04
3073,TR: 10:50AM-12:05PM,Writing as Social Justice,ENGL-263-01
2106,MW: 11:30AM-12:45PM,Intro to Creative Writing,ENGL-270-01
1723,MW: 8:30AM-9:45AM,Intro to Creative Writing,ENGL-270-02
1560,MW: 10:00AM-11:15AM,Intro to Creative Writing,ENGL-270-03
3074,MW: 2:55PM-4:10PMM: 6:30PM-9:00PM,World Cinema,ENGL-288-01
3075,TR: 9:25AM-10:40AM,Early American Women's Lit,ENGL-307-01
3076,MW: 11:30AM-12:45PMW: 6:30PM-9:00PM,Cinematic Modernism,ENGL-323-01
2698,TR: 2:55PM-4:10PM,Creative Nonfiction,ENGL-333-01
1564,W: 1:30PM-4:10PM,Adv Cr Writing:Fiction,ENGL-334-01
3179,MW: 11:30AM-12:45PM,Chaucer,ENGL-345-01
3183,TR: 10:50AM-12:05PM,The Novel and the Real World,ENGL-354-01
1539,TBA,Independent Study,ENGL-399-01
1862,M: 6:30PM-9:00PM,Intro to Literary Theory,ENGL-401-01
3287,W: 6:30PM-9:00PM,Am Ltry Modrnsm &the Great War,ENGL-442-01
3077,T: 6:30PM-9:00PM,Black Women Writers,ENGL-445-01
3081,R: 6:30PM-9:00PM,Shakespeare and Film,ENGL-455-01
1491,TBA,Teaching Assistant,ENGL-466-01
3083,MW: 1:30PM-2:45PMM: 6:30PM-9:00PM,Dickens/Chaplin,ENGL-473-01
3238,MW: 10:00AM-11:15AM,Creative Writing Senior Worksh,ENGL-493-01
3385,TBA,One-Semester Senior Thesis,ENGL-497-01
3387,TR: 9:25AM-10:40AM,Sr Thesis Part 1/Sr Colloquim,ENGL-498-01
1861,M: 6:30PM-9:00PM,Intro to Literary Theory,ENGL-801-01
3286,W: 6:30PM-9:00PM,Am Ltry Modrnsm &the Great War,ENGL-842-01
3078,T: 6:30PM-9:00PM,Black Women Writers,ENGL-845-01
3082,R: 6:30PM-9:00PM,Shakespeare and Film,ENGL-855-01
1442,TBA,Independent Study,ENGL-940-01
1444,TBA,Research Project,ENGL-953-01
1578,TBA,Thesis Part I,ENGL-954-01
1752,TBA,Thesis Part II,ENGL-955-01
1443,TBA,Thesis,ENGL-956-01
