ID,Time,Title,Course ID
2703,MWF: 11:00AM-11:50AM,Engr Computation & Analysis,ENGR-110-01
3014,TR: 10:50AM-12:05PM,Engineering Mathematical Analy,ENGR-210-01
1012,M: 1:30PM-4:10PM,Digital Circuits & Systems,ENGR-221-01
1013,MWF: 10:00AM-10:50AM,Digital Circuits & Systems,ENGR-221-20
1014,TR: 9:25AM-10:40AM,Mechanics I,ENGR-225-01
2704,W: 1:30PM-4:10PM,Signal Proc & Applications,ENGR-301-01
2705,WF: 8:30AM-9:45AM,Signal Proc & Applications,ENGR-301-20
1946,F: 1:30PM-4:10PM,Microelectronic Circuits,ENGR-305-01
1947,TR: 8:00AM-9:15AM,Microelectronic Circuits,ENGR-305-20
2356,TR: 6:30PM-7:45PM,Electrophysiology of the CNS,ENGR-311-01
2706,TR: 9:25AM-10:40AM,Automatic Control Systems,ENGR-312-01
2108,M: 1:30PM-4:10PM,Mechanics of Materials,ENGR-325-01
2109,TR: 1:30PM-2:45PM,Mechanics of Materials,ENGR-325-20
2707,W: 1:30PM-4:10PM,Thermodynamics,ENGR-337-01
2107,TR: 10:50AM-12:05PM,Architectural Drawing,ENGR-341-01
3218,R: 1:30PM-4:10PM,Computational Neuroscience,ENGR-346-01
3219,TBA,Computational Neuroscience,ENGR-346-20
1583,TBA,Ind Study-Robot Team,ENGR-399-01
1500,TR: 10:50AM-12:05PM,Independent Study,ENGR-399-01
3220,W: 1:30PM-4:10PM,Experiment Desgns&Methds,ENGR-431-01
3221,TBA,Experiment Desgns&Methds,ENGR-431-20
1551,TR: 2:55PM-4:10PM,Teaching Assistant,ENGR-466-01
3417,TBA,Capstone Design I,ENGR-483-01
