ID,Time,Title,Course ID
1368,TR: 10:50AM-12:05PM,Introduction to Earth Science,ENVS-112-01
3325,TR: 9:25AM-10:40AM,Introduction to Earth Science,ENVS-112-02
1369,W: 1:30PM-4:10PM,Introduction to Earth Science,ENVS-112-20
1803,R: 1:30PM-4:10PM,Introduction to Earth Science,ENVS-112-21
3326,T: 1:30PM-4:10PM,Introduction to Earth Science,ENVS-112-22
3346,MWF: 9:00AM-9:50AM,Globl Pers Biodiversty&Conserv,ENVS-141-01
3440,MWF: 11:00AM-11:50AM,Watershed Ecology,ENVS-308-01
1363,MWF: 10:00AM-10:50AM,Methds in Environmentl Science,ENVS-375-01
1364,W: 1:30PM-4:10PM,Methds in Environmentl Science,ENVS-375-20
1418,TBA,Independent Study,ENVS-399-01
1419,TBA,Internship in Env Science,ENVS-405-01
1429,TBA,Research in Env Science Libr,ENVS-419-01
1420,TBA,Research in Env Science Lab,ENVS-425-01
1421,TBA,Teaching Assistantship,ENVS-466-01
1436,TBA,Honors Research,ENVS-497-01
