ID,Time,Title,Course ID
2137,MW: 10:00AM-11:15AM,Introduction to Recording Arts,FILM-175-01
1594,TR: 9:25AM-10:40AM,Basic Filmmaking,FILM-201-01
3031,TR: 1:30PM-2:45PMM: 6:30PM-9:00PM,Intro to Film Studies,FILM-265-01
3032,TR: 10:50AM-12:05PM,Art of Motion Picture Editing,FILM-306-01
2497,T: 6:30PM-9:10PM,Film Noir,FILM-350-01
3012,W: 1:30PM-4:10PM,Hitchcock,FILM-373-01
1530,TBA,Independent Study,FILM-399-01
1365,TBA,Teaching Assistant,FILM-466-01
3388,TBA,Senior Thesis Part 1,FILM-498-01
1590,TBA,Senior Thesis Part 2,FILM-499-01
