ID,Time,Title,Course ID
1016,MWF: 9:00AM-9:50AM,Elementary French I,FREN-101-01
1567,MWF: 10:00AM-10:50AM,Elementary French I,FREN-101-02
1506,MWF: 12:00PM-12:50PM,French II,FREN-102-01
1566,MWF: 9:00AM-9:50AM,Intermediate French I,FREN-201-01
1366,MWF: 10:00AM-10:50AM,Intermediate French I,FREN-201-02
1367,MWF: 10:00AM-10:50AM,Intermediate French II,FREN-202-01
1017,TR: 9:25AM-10:40AM,Adv Composition & Style,FREN-241-01
3113,TR: 1:30PM-2:45PM,Creative Writing in French,FREN-252-01
3166,TR: 10:50AM-12:05PM,French Slavery & Afterlives,FREN-308-01
3129,MW: 1:30PM-2:45PM,French Cinema,FREN-320-01
1481,TBA,Independent Study,FREN-399-01
1522,TBA,Teaching Assistant,FREN-466-01
