ID,Time,Title,Course ID
3270,TR: 1:30PM-2:45PM,BFF or Strange Bedfellows?,FYSM-101-01
3280,MW: 1:30PM-2:45PM,"Uncovering the""Hidden Figures""",FYSM-102-01
3257,TR: 8:00AM-9:15AM,Peculiar Beliefs and Behaviors,FYSM-103-01
3256,TR: 1:30PM-2:45PM,Law and Popular Culture,FYSM-104-01
3303,MW: 8:30AM-9:45AM,Describing Nature,FYSM-106-01
3261,MW: 1:30PM-2:45PM,How Microbes Rule the World,FYSM-107-01
3305,WF: 2:55PM-4:10PM,The World of Chess,FYSM-108-01
3324,TR: 1:30PM-2:45PM,Fairy Tales & Children's Lit,FYSM-109-01
3265,MW: 2:55PM-4:10PM,Designing Your Future Work,FYSM-110-01
3281,MW: 1:30PM-2:45PM,Math in the Movies,FYSM-111-01
3335,MW: 10:00AM-11:15AM,From wood fire to LED lights,FYSM-113-01
3339,MW: 8:30AM-9:45AM,American Crime Fiction,FYSM-114-01
3262,TR: 2:55PM-4:10PM,American Letters,FYSM-115-01
3260,TR: 9:25AM-10:40AM,Life & Democracy in Athens,FYSM-117-01
3353,MWF: 9:00AM-9:50AM,Sports,FYSM-118-01
3258,TR: 10:50AM-12:05PM,Literacy in Manga and Anime,FYSM-119-01
3356,MW: 10:00AM-11:15AM,"Love, Death and Twitter",FYSM-120-01
3501,MW: 1:30PM-2:45PM,Electronic and Computer Music,FYSM-122-01
3488,TR: 10:50AM-12:05PM,Enchanted Data & Machine Minds,FYSM-124-01
3259,MWF: 9:00AM-9:50AM,Water Comes and Water Goes,FYSM-126-01
3348,TR: 10:50AM-12:05PM,Exploring the 1960s,FYSM-127-01
3304,TR: 10:50AM-12:05PM,Physics in Science Fiction,FYSM-130-01
3264,TR: 1:30PM-2:45PM,American Oratory,FYSM-146-01
3269,TR: 1:30PM-2:45PM,"History, Theology, & the Bible",FYSM-153-01
3271,MW: 1:30PM-2:45PM,The Silk Road,FYSM-158-01
3267,MW: 8:30AM-9:45AM,"Bones,Pigments&Native Metals",FYSM-161-01
3254,MWF: 10:00AM-10:50AM,Sustainable Life,FYSM-185-01
3255,MWF: 10:00AM-10:50AM,Sustainable Life,FYSM-185-02
3266,TR: 1:30PM-2:45PM,From Romulus to Mussolini,FYSM-192-01
3263,WF: 1:30PM-2:45PM,The Brothers Karamazov,FYSM-193-01
3489,MW: 1:30PM-2:45PM,Russian Theater,FYSM-194-01
3345,MW: 11:30AM-12:45PM,Understanding Cultures,FYSM-197-01
