ID,Time,Title,Course ID
1800,MWF: 9:00AM-9:50AM,Elementary Spanish I,HISP-101-01
1941,MWF: 10:00AM-10:50AM,Elementary Spanish I,HISP-101-02
2422,MWF: 11:00AM-11:50AM,Elementary Spanish I,HISP-101-03
1801,MWF: 9:00AM-9:50AM,Elementary Spanish II,HISP-102-01
2254,MWF: 10:00AM-10:50AM,Elementary Spanish II,HISP-102-02
2409,MWF: 11:00AM-11:50AM,Elementary Spanish II,HISP-102-03
1389,MWF: 9:00AM-9:50AM,Intermediate Spanish I,HISP-201-01
1486,MWF: 10:00AM-10:50AM,Intermediate Spanish I,HISP-201-02
2423,MWF: 11:00AM-11:50AM,Intermediate Spanish I,HISP-201-03
2446,TR: 10:50AM-12:05PM,Intermediate Spanish I,HISP-201-04
3312,MW: 11:30AM-12:45PM,Intermediate Spanish I,HISP-201-05
1384,TR: 9:25AM-10:40AM,Intermediate Spanish II,HISP-202-01
1388,MW: 1:30PM-2:45PM,Advanced Grammar & Composition,HISP-221-01
3116,TR: 2:55PM-4:10PM,Iberian & LatAmer Film&Convers,HISP-226-01
3117,TR: 1:30PM-2:45PM,Brazil and Portuguese Language,HISP-240-01
2545,MW: 2:55PM-4:10PM,Iberian Culture I,HISP-261-01
1385,MW: 10:00AM-11:15AM,Latin American Culture I,HISP-263-01
1406,TR: 10:50AM-12:05PM,Intro to Cultural Analysis,HISP-270-01
2546,MW: 10:00AM-11:15AM,Studying in HISP World Colloq,HISP-290-01
3237,TR: 2:55PM-4:10PM,Antarctica: Culture and Crisis,HISP-346-01
3285,TBA,Islands and Spanish Violence,HISP-348-01
1483,TBA,Independent Study,HISP-399-01
1484,TBA,Teaching Assistant,HISP-466-01
