ID,Time,Title,Course ID
3138,TR: 9:25AM-10:40AM,Central Am. Immigration to US,HIST-204-01
3171,MW: 1:30PM-2:45PM,African-American History,HIST-209-01
1939,MWF: 10:00AM-10:50AM,World War II,HIST-216-01
2365,MWF: 12:00PM-12:50PM,Planet Earth,HIST-219-01
3139,MWF: 12:00PM-12:50PM,Planet Earth,HIST-219-02
2367,MWF: 12:00PM-12:50PM,Planet Earth,HIST-219-03
3140,MW: 10:00AM-11:15AM,South Africa/Anti-Apartheid Mv,HIST-232-01
3142,TR: 10:50AM-12:05PM,Undrstanding Lat Am & Caribbn,HIST-236-01
3244,TR: 1:30PM-2:45PM,Intro to Roman History,HIST-274-01
3251,MW: 2:55PM-4:10PM,Born in Blood,HIST-285-01
3225,W: 1:30PM-4:10PM,History Workshop,HIST-300-01
3282,TR: 2:55PM-4:10PM,The Holocaust,HIST-329-01
3145,TR: 10:50AM-12:05PM,Chinese Environmental History,HIST-335-01
3243,TR: 9:25AM-10:40AM,Gender & War in 20th Cen. Eur,HIST-368-01
1531,TBA,Independent Study,HIST-399-01
1532,TBA,Teaching Assistant,HIST-466-01
2887,TBA,Research Assistantship,HIST-490-01
3443,M: 1:30PM-4:10PM,Sr Thesis Part 1 & Seminar,HIST-498-01
