ID,Time,Title,Course ID
1796,TR: 1:30PM-2:45PM,Introduction to Human Rights,HRST-125-01
3505,TR: 6:30PM-8:00PM,Friends and Enemies,HRST-228-01
2789,TR: 9:25AM-10:40AM,Question of Justice & the Arts,HRST-312-01
3173,TR: 10:50AM-12:05PM,Abolition: A Global History,HRST-315-01
2113,M: 11:00AM-12:45PMT: 5:00PM-7:00PM,New Beginnings,HRST-348-01
1409,TBA,Human Rights Studies,HRST-399-01
3176,R: 6:30PM-9:00PM,"Race, Gender, Global Security",HRST-409-01
1807,TBA,Human Rights Teaching Assistnt,HRST-466-01
1660,TBA,Research Assistantship,HRST-490-01
3181,T: 6:30PM-9:00PM,Senior Research Colloquium,HRST-495-01
