ID,Time,Title,Course ID
2737,TR: 9:25AM-10:40AM,Gender & Sexuality/Transnatl,INTS-201-01
3232,MW: 2:55PM-4:10PM,Global South,INTS-207-01
3233,TR: 2:55PM-4:10PM,War and the Asian Diaspora,INTS-209-01
3047,TR: 1:30PM-2:45PM,Global Intimacies,INTS-211-01
3143,TR: 10:50AM-12:05PM,Undrstanding Lat Am & Caribbn,INTS-216-01
3141,MW: 10:00AM-11:15AM,South Africa/Anti-Apartheid Mv,INTS-232-01
2659,MW: 1:30PM-2:45PM,20th Cent Chinese Literature,INTS-237-01
3049,TR: 10:50AM-12:05PM,Global Inequalities,INTS-247-01
2661,TR: 2:55PM-4:10PM,The City in African Studies:,INTS-260-01
3051,TR: 9:25AM-10:40AM,Global Environmental Politics,INTS-263-01
3054,MW: 1:30PM-2:45PM,Black Internationalism,INTS-314-01
3239,TR: 10:50AM-12:05PM,Black Islam,INTS-351-01
3284,MW: 11:30AM-12:45PM,Global Indigeneity,INTS-353-01
1573,TBA,Independent Study,INTS-399-01
2357,W: 1:30PM-4:10PM,Senior Sem Internationl Stdies,INTS-401-01
1518,TBA,Teaching Assistant,INTS-466-01
1843,TBA,Research Assistantship,INTS-490-01
2065,TBA,Senior Thesis,INTS-497-01
