ID,Time,Title,Course ID
3004,F: 12:00PM-12:50PM,TA Workshop,LACS-205-01
2513,MW: 11:30AM-12:45PM,Afro-European Feminisms,LACS-221-01
3169,W: 6:30PM-9:00PM,Reimagining Arabs in Film&Lit,LACS-227-01
3120,TR: 9:25AM-10:40AM,The Postwar German Film,LACS-259-01
3122,TR: 1:30PM-2:45PM,Inside the Third Reich,LACS-268-01
2057,MWF: 11:00AM-11:50AM,Mafia,LACS-272-01
2550,MW: 2:55PM-4:10PM,Italian Fascism & Antifascism,LACS-275-01
3126,MW: 2:55PM-4:10PM,Tolstoy's War and Peace,LACS-281-01
3153,MW: 1:30PM-2:45PM,"Language, Culture & Meaning",LACS-299-01
3128,MW: 1:30PM-2:45PM,French Cinema,LACS-320-01
1492,TBA,Independent Study,LACS-399-01
2048,TBA,Senior Project,LACS-401-01
1493,TBA,Teaching Assistant,LACS-466-01
