ID,Time,Title,Course ID
2250,MWF: 9:00AM-9:50AM,Elements of Statistics,MATH-107-01
1999,MWF: 10:00AM-10:50AM,Elements of Statistics,MATH-107-02
2000,MWF: 10:00AM-10:50AM,Judgment and Decision Making,MATH-114-01
3192,MWF: 11:00AM-11:50AM,Mathematical Gems,MATH-123-01
2001,MWF: 9:00AM-9:50AM,"Functions, Graphs and Modeling",MATH-127-01
2002,MWF: 11:00AM-11:50AM,"Functions, Graphs and Modeling",MATH-127-02
1993,MWF: 8:30AM-9:45AM,Calculus I,MATH-131-01
1994,MWF: 8:30AM-9:45AM,Calculus I,MATH-131-02
1995,MWF: 8:30AM-9:45AM,Calculus I,MATH-131-03
1997,MWF: 12:00PM-12:50PMT: 10:50AM-12:05PM,Calculus I,MATH-131-05
1998,MWF: 12:00PM-12:50PMR: 10:50AM-12:05PM,Calculus I,MATH-131-06
2034,MWF: 12:00PM-12:50PMT: 10:50AM-12:05PM,Calculus I,MATH-131-07
2099,R: 10:50AM-12:05PM,Calculus I Workshop,MATH-131-20
2100,R: 9:25AM-10:40AM,Calculus I Workshop,MATH-131-21
2882,T: 10:50AM-12:05PM,Calculus I Workshop,MATH-131-22
2883,T: 9:25AM-10:40AM,Calculus I Workshop,MATH-131-23
2003,MWF: 8:30AM-9:45AM,Calculus II,MATH-132-01
2004,MWF: 12:00PM-12:50PMT: 10:50AM-12:05PM,Calculus II,MATH-132-02
1026,MWF: 10:00AM-10:50AM,Abstraction and Argument,MATH-205-01
2005,MWF: 10:00AM-10:50AM,Statistical Data Analysis,MATH-207-01
2006,MWF: 9:00AM-9:50AM,Statistical Data Analysis,MATH-207-02
3189,MWF: 11:00AM-11:50AM,Statistical Data Analysis,MATH-207-03
3006,MWF: 12:00PM-12:50PM,Stochastic Processes,MATH-209-01
1945,MWF: 10:00AM-10:50AM,Applied Linear Algebra,MATH-229-01
2009,MWF: 8:30AM-9:45AM,Calculus III,MATH-231-01
2010,MWF: 12:00PM-12:50PMR: 10:50AM-12:05PM,Calculus III,MATH-231-02
2359,MWF: 12:00PM-12:50PM,Differential Equations,MATH-234-01
1745,TBA,Independent Study,MATH-299-01
3007,MWF: 9:00AM-9:50AM,Probability,MATH-305-01
2535,MWF: 10:00AM-10:50AM,Abstract Algebra I-TheoryGrps,MATH-307-01
2536,MWF: 11:00AM-11:50AM,Numerical Analysis,MATH-309-01
3008,MW: 2:55PM-4:10PM,Complex Analysis,MATH-341-01
1458,TBA,Independent Study,MATH-399-01
3289,MW: 1:30PM-2:45PM,Mathematical Optimization,MATH-409-01
3395,TBA,Senior Thesis,MATH-497-01
