ID,Time,Title,Course ID
1027,MWF: 10:00AM-10:50AM,Basic Musicianship,MUSC-101-01
1354,M: 1:30PM-2:20PM,Basic Musicianship,MUSC-101-20
1355,M: 2:40PM-3:30PM,Basic Musicianship,MUSC-101-21
1356,W: 2:40PM-3:30PM,Basic Musicianship,MUSC-101-22
1357,R: 2:55PM-3:45PM,Basic Musicianship,MUSC-101-23
1374,TBA,Instrumental Ensemble,MUSC-105-01
2410,TBA,Instrumental Ensemble,MUSC-105-02
1375,TBA,Lessons,MUSC-107-01
1569,TBA,Lessons,MUSC-107-02
1794,MW: 7:30PM-9:00PM,Steel Pan Ensemble,MUSC-108-01
1376,TR: 7:30PM-8:45PM,Jazz Ensemble,MUSC-109-01
2110,MW: 6:00PM-7:15PM,Samba Ensemble,MUSC-111-01
2111,MW: 2:55PM-4:10PM,Introduction to World Music,MUSC-113-01
3290,TR: 1:30PM-2:45PM,Before Lady Gaga and Beyoncé,MUSC-150-01
1864,MW: 10:00AM-11:15AM,Introduction to Recording Arts,MUSC-175-01
2040,MWF: 11:00AM-11:50AM,Diatonic Harmonic Practice,MUSC-201-01
2041,R: 1:40PM-2:30PM,Diatonic Harmonic Practice,MUSC-201-20
3491,TBA,Organists' Lab,MUSC-209-20
2757,T: 1:30PM-4:10PM,Advanced Recording Arts,MUSC-260-01
2759,TR: 2:55PM-4:10PM,"Plato, Bach, Paris, and London",MUSC-311-01
1460,TBA,Independent Study,MUSC-399-01
1505,TBA,Teaching Assistantship,MUSC-466-01
3409,TBA,Senior Thesis,MUSC-497-01
3397,TBA,Senior Thesis Part 1,MUSC-498-01
