ID,Time,Title,Course ID
3185,MW: 11:30AM-12:45PM,The Divided Brain,NESC-107-01
3033,TR: 10:50AM-12:05PM,Neuroendocrinology,NESC-210-01
1028,MW: 1:30PM-4:10PM,Intro Neursci Method-Lab,NESC-301-01
3184,MW: 10:00AM-11:15AM,Cultural Neuroscience,NESC-308-01
3034,MW: 8:30AM-9:45AM,Neurobiology of Movement,NESC-312-01
3229,TR: 10:50AM-12:05PM,Neuroscience across Lifespan,NESC-320-01
3110,MW: 1:30PM-2:45PM,"Mind, Brain, and Society",NESC-345-01
3086,TR: 2:55PM-4:10PM,Neuropsychopharmacology,NESC-364-01
1702,R: 1:30PM-2:45PM,Current Issues in Neuroscience,NESC-388-01
1422,TBA,Independent Study,NESC-399-01
1423,TBA,Research Neurosci-Lab,NESC-425-01
1430,TBA,Teaching Assistant,NESC-466-01
2457,TBA,Research Assistant,NESC-490-01
3401,TBA,Senior Thesis Part 1,NESC-498-01
1811,TBA,Independent Research,NESC-951-01
1812,TBA,Thesis Part I,NESC-953-01
1813,TBA,Thesis Part II,NESC-954-01
1814,TBA,Thesis,NESC-956-01
