ID,Time,Title,Course ID
1568,T: 6:30PM-9:00PM,Fundamentals of American Law,PBPL-123-01
1395,MW: 1:30PM-2:45PM,Intro to Ameri Public Policy,PBPL-201-01
2667,TR: 9:25AM-10:40AM,Health Policy and Law,PBPL-212-01
1795,MW: 2:55PM-4:10PM,Research and Evaluation,PBPL-220-01
3354,TR: 10:50AM-12:05PM,Research and Evaluation,PBPL-220-02
3299,TR: 1:30PM-2:45PM,Judicial Proc:Courts & Pub Pol,PBPL-251-01
2730,TR: 10:50AM-12:05PM,Restorative Justice,PBPL-303-01
2668,TR: 2:55PM-4:10PM,Capital Punishment in America,PBPL-304-01
3301,TR: 9:25AM-10:40AM,Constitutionl Powr/Civil Rghts,PBPL-307-01
1869,TR: 9:25AM-10:40AM,American Legal History,PBPL-321-01
2669,MW: 10:00AM-11:15AM,The Legal History of Race Rela,PBPL-323-01
2729,M: 1:30PM-4:10PM,First Amendment Law and Policy,PBPL-355-01
2670,W: 1:30PM-4:10PM,Public Policy Law Intern & Sem,PBPL-398-01
3355,TBA,Public Policy Law Intern & Sem,PBPL-398-02
1537,TBA,Independent Study,PBPL-399-01
1431,TBA,Teaching Assistant,PBPL-466-01
1511,W: 1:30PM-4:10PM,Research Assistantship,PBPL-490-01
3410,W: 6:30PM-9:00PM,Thesis and Colloquium,PBPL-498-01
1703,TR: 1:30PM-2:45PM,Principles and Practice,PBPL-800-01
3246,M: 6:30PM-9:00PM,Global Studio,PBPL-803-01
2754,T: 6:30PM-9:00PM,Introduction to Urban Planning,PBPL-833-01
2405,R: 6:30PM-9:00PM,Policy Analysis,PBPL-846-01
2045,TBA,Public Management,PBPL-860-01
3164,TBA,Leadership in the Policy Arena,PBPL-869-01
1445,TBA,Independent Study,PBPL-940-01
1446,TBA,Research Project,PBPL-953-01
1447,TBA,Thesis Part I,PBPL-954-01
