ID,Time,Title,Course ID
2581,TR: 9:25AM-10:40AM,Beginning Swimming I,PHED-101-01
3272,W: 1:30PM-4:30PM,Rock Climbing I,PHED-105-01
2583,MW: 10:00AM-11:15AM,Beginning Ice Skating,PHED-107-01
2584,TR: 9:25AM-10:40AM,Beginning Ice Skating,PHED-107-02
2587,MW: 10:00AM-11:15AM,Squash I,PHED-111-01
2588,TR: 9:25AM-10:40AM,Squash I,PHED-111-02
2591,TR: 9:25AM-10:40AM,Beginning Tennis,PHED-112-01
2592,MW: 10:00AM-11:15AM,Beginning Tennis,PHED-112-02
2595,MW: 8:30AM-9:45AM,Recreational Running/Walking I,PHED-121-01
2596,TR: 10:50AM-12:05PM,Recreational Running/Walking I,PHED-121-02
2599,TR: 9:25AM-10:40AM,Fitness I,PHED-124-01
2600,TR: 10:50AM-12:05PM,Fitness I,PHED-124-02
2603,MW: 10:00AM-11:15AM,Golf,PHED-131-01
2605,MW: 10:00AM-11:15AM,Nutrition/Sport Performance,PHED-151-01
3274,W: 1:30PM-4:30PM,Rock Climbing II,PHED-205-01
2607,MW: 10:00AM-11:15AM,Squash II,PHED-211-01
2797,TR: 9:25AM-10:40AM,Intermediate Tennis,PHED-212-01
2609,MW: 8:30AM-9:45AM,Fitness II,PHED-224-01
