ID,Time,Title,Course ID
2791,MW: 6:30PM-7:45PM,Intro to Phil,PHIL-101-01
2792,TR: 2:55PM-4:10PM,Ethics,PHIL-103-01
2376,WF: 11:30AM-12:45PM,Symbolic Logic,PHIL-205-01
3095,TR: 1:30PM-2:45PM,Roman Philosophy,PHIL-244-01
2378,TR: 10:50AM-12:05PM,Philosophy of Logic,PHIL-255-01
2379,TR: 9:25AM-10:40AM,Ancient Greek Philosophy,PHIL-281-01
2717,T: 1:30PM-4:10PM,Modern Philosophy,PHIL-288-01
3249,R: 6:30PM-9:00PM,Being Human,PHIL-292-01
3096,F: 1:30PM-4:10PM,Philosophy of Medicine,PHIL-311-01
3097,T: 6:30PM-9:00PM,Marx,PHIL-320-01
3168,M: 1:30PM-4:10PM,Fanon,PHIL-332-01
3098,W: 1:30PM-4:10PM,Philosophy of Mind,PHIL-378-01
1536,TBA,Independent Study,PHIL-399-01
1461,TBA,Teaching Assistant,PHIL-466-01
3411,TBA,Senior Thesis Part 1,PHIL-498-01
