ID,Time,Title,Course ID
1029,MWF: 10:00AM-10:50AM,Prin Physics I,PHYS-101-01
1030,T: 1:30PM-4:10PM,Prin Physics I,PHYS-101-20
1031,R: 1:30PM-4:10PM,Prin Physics I,PHYS-101-21
1732,MWF: 10:00AM-11:50AM,Physics I - Mechanics,PHYS-141-01
1733,MWF: 1:30PM-3:20PM,Physics I - Mechanics,PHYS-141-02
2781,MWF: 11:00AM-11:50AM,PhysIII:Optics/Modern Phys&LAB,PHYS-232-01
2782,W: 1:30PM-4:10PM,PhysIII:Optics/Modern Phys&LAB,PHYS-232-20
3194,MWF: 11:00AM-11:50AM,Classical Mechanics,PHYS-301-01
3195,MWF: 12:00PM-12:50PM,Contemporary Optics,PHYS-315-01
1435,TBA,Independent Study,PHYS-399-01
1414,TBA,Senior Exercise,PHYS-405-01
1519,TBA,Research Assistantship,PHYS-490-01
