ID,Time,Title,Course ID
3055,TR: 1:30PM-2:45PM,American Natl Govt,POLS-102-01
3056,TR: 2:55PM-4:10PM,American Natl Govt,POLS-102-02
1377,MW: 1:30PM-2:45PM,Intro Compar Politics,POLS-103-01
3057,TR: 9:25AM-10:40AM,Intro Intl Relations,POLS-104-01
3058,TR: 10:50AM-12:05PM,Intro Intl Relations,POLS-104-02
3059,TR: 1:30PM-2:45PM,Intro Pol Philosophy,POLS-105-01
3016,TR: 1:30PM-2:45PM,Interest Grp Lobbying Amer Pol,POLS-215-01
3060,TR: 10:50AM-12:05PM,History of Pol Thought I,POLS-219-01
2787,TR: 2:55PM-4:10PM,Colonization and the Canon,POLS-235-01
3061,MW: 10:00AM-11:15AM,"Race, Capitalism, and Wrld Pol",POLS-241-01
2566,TR: 10:50AM-12:05PM,Pol Sci Research Methods,POLS-242-01
3050,TR: 1:30PM-2:45PM,Global Inequalities,POLS-247-01
3300,MW: 2:55PM-4:10PM,Judicial Proc:Courts & Pub Pol,POLS-252-01
2567,TR: 9:25AM-10:40AM,Politics of Violence,POLS-257-01
3052,TR: 9:25AM-10:40AM,Global Environmental Politics,POLS-263-01
2568,TR: 9:25AM-10:40AM,"Law, Politics and Society",POLS-273-01
3297,TR: 9:25AM-10:40AM,Principles and Practice,POLS-300-01
3298,TR: 9:25AM-10:40AM,Constitutionl Powr/Civil Rghts,POLS-307-01
2570,TR: 10:50AM-12:05PM,Congress and Public Policy,POLS-309-01
3062,MW: 1:30PM-2:45PM,Polarization and Policy-Making,POLS-311-01
2571,TR: 10:50AM-12:05PM,Politics: Mid East & N. Africa,POLS-312-01
3063,TR: 2:55PM-4:10PM,Comparative Urban Development,POLS-314-01
2118,TR: 1:30PM-2:45PM,Statebuilding,POLS-318-01
3064,TR: 1:30PM-2:45PM,Environ Issues in Intl Rel,POLS-324-01
3494,TR: 2:55PM-4:10PM,Environ Issues in Intl Rel,POLS-324-02
3065,W: 1:30PM-4:10PM,Origins of West Pol Phil,POLS-334-01
3066,TR: 1:30PM-2:45PM,Contemp&Postmod Thought,POLS-339-01
3500,TR: 9:25AM-10:40AM,Theory & Pol of African Decol,POLS-343-01
3015,TBA,The Pol of Race in Latin Amer,POLS-347-01
2104,M: 6:30PM-9:00PM,Authoritarianism,POLS-353-01
3028,TR: 10:50AM-12:05PM,Urban Politics,POLS-355-01
2577,TBA,American Foreign Policy,POLS-379-01
1462,MW: 10:00AM-11:15AM,Independent Study,POLS-399-01
2578,TBA,Sr Sem:Decolonizing World Poli,POLS-407-01
3495,TBA,Sr Sem: Racial & Ethnic Pol,POLS-408-01
2579,M: 1:30PM-4:10PM,Sr Sem:Adv Topics in Law & Soc,POLS-412-01
