ID,Time,Title,Course ID
2037,MWF: 10:00AM-10:50AM,Intro to Psychological Science,PSYC-101-01
1378,MWF: 11:00AM-11:50AM,Intro to Psychological Science,PSYC-101-02
2374,TR: 10:50AM-12:05PM,Intro to Psychological Science,PSYC-101-03
3088,TR: 9:25AM-10:40AM,Intro to Psychological Science,PSYC-101-04
2635,TR: 1:30PM-2:45PM,"Dev Disabilities,Mental Health",PSYC-207-01
1401,MWF: 9:00AM-9:50AM,Research Design and Analysis,PSYC-221-01
1402,M: 1:30PM-4:10PM,Research Design and Analysis,PSYC-221-20
1403,T: 1:30PM-4:10PM,Research Design and Analysis,PSYC-221-21
3099,WF: 1:30PM-2:45PM,Health Psychology,PSYC-237-01
3100,MW: 1:30PM-2:45PM,Cognitive Psychology,PSYC-255-01
1393,MWF: 11:00AM-11:50AM,Brain and Behavior,PSYC-261-01
2134,MWF: 12:00PM-12:50PM,Brain and Behavior,PSYC-261-02
1392,T: 1:30PM-4:10PM,Brain & Behavior Laboratory,PSYC-261-20
2406,R: 6:30PM-9:00PM,Brain & Behavior Laboratory,PSYC-261-21
2382,TR: 9:25AM-10:40AM,Psychopathology,PSYC-273-01
3101,TR: 10:50AM-12:05PM,Perception,PSYC-293-01
3102,R: 1:30PM-4:10PM,Perception Laboratory,PSYC-293-20
1394,MWF: 10:00AM-10:50AM,Child Development,PSYC-295-01
1391,M: 1:30PM-4:10PM,Child Development-Lab,PSYC-295-20
3103,WF: 10:00AM-11:15AM,Behavioral Neuroscience,PSYC-302-01
2639,TR: 9:25AM-10:40AM,Developmental Psychopathology,PSYC-339-01
3109,MW: 1:30PM-2:45PM,"Mind, Brain, and Society",PSYC-345-01
3104,TR: 1:30PM-2:45PM,Intergroup Relations,PSYC-346-01
3105,TR: 10:50AM-12:05PM,Executive Functioning,PSYC-350-01
3087,TR: 2:55PM-4:10PM,Neuropsychopharmacology,PSYC-364-01
2371,M: 1:30PM-4:10PM,Psychotherapy,PSYC-370-01
1699,TBA,Psychology Research Internship,PSYC-390-01
3106,TR: 2:55PM-4:10PM,Psychology of Language,PSYC-391-01
1425,TBA,Independent Study,PSYC-399-01
3107,W: 1:30PM-4:10PM,Sr Sem: Communication in 2020,PSYC-401-01
3108,R: 1:30PM-4:10PM,Sr Sem: The Social Self,PSYC-401-02
1426,TBA,Teaching Assistant,PSYC-466-01
1428,TBA,Research Assistant,PSYC-490-01
1944,W: 6:30PM-8:00PM,Senior Thesis Colloquium Pt 1,PSYC-491-01
3418,TBA,Senior Thesis Part 1,PSYC-498-01
