ID,Time,Title,Course ID
1865,TR: 10:50AM-12:05PM,Jewish Tradition,RELG-109-01
3018,MW: 1:30PM-2:45PM,Introduction to Christianity,RELG-110-01
3019,MW: 8:30AM-9:45AM,Religions of Asia,RELG-151-01
3020,TR: 2:55PM-4:10PM,Intro Hebrew Bible/Old Testame,RELG-211-01
2385,TR: 2:55PM-4:10PM,Jews in America,RELG-214-01
3186,TR: 9:25AM-10:40AM,Modern Islam,RELG-217-01
3021,TR: 1:30PM-2:45PM,Islamophobia,RELG-220-01
3022,MW: 10:00AM-11:15AM,Existentialism and Religion,RELG-275-01
3137,TR: 1:30PM-2:45PM,Anthropology of Religion,RELG-281-01
3147,MW: 11:30AM-12:45PM,"Magic, Sorcery & Witchcraft",RELG-317-01
3278,MW: 11:30AM-12:45PM,Buddhist Materiality,RELG-321-01
1466,TBA,Independent Study,RELG-399-01
1467,TBA,Teaching Assistant,RELG-466-01
3432,TBA,Senior Thesis,RELG-497-01
3430,TBA,Senior Thesis Part 1,RELG-498-01
