ID,Time,Title,Course ID
1488,TR: 1:30PM-2:45PM,Principles of Sociology,SOCL-101-01
2127,MW: 2:55PM-4:10PM,Principles of Sociology,SOCL-101-02
2880,TR: 10:50AM-12:05PM,Principles of Sociology,SOCL-101-03
3208,TR: 6:30PM-7:45PM,Principles of Sociology,SOCL-101-04
2673,TR: 10:50AM-12:05PM,Clas & Contemp Theory,SOCL-202-01
1698,MW: 10:00AM-11:15AM,Statistics for Social Sciences,SOCL-210-01
2675,MW: 11:30AM-12:45PM,"Lights, Camera, Society!",SOCL-217-01
3149,TR: 9:25AM-10:40AM,Mass Media & Pop Culture,SOCL-241-01
3150,WF: 1:30PM-2:45PM,Environmental Sociology,SOCL-245-01
2676,W: 1:30PM-4:10PM,Sociology of Gender,SOCL-246-01
3152,TR: 2:55PM-4:10PM,Colonialism and Society,SOCL-315-01
2723,TR: 1:30PM-2:45PM,Global Gender Inequalities,SOCL-316-01
3222,W: 1:30PM-4:10PM,Sociology of Law,SOCL-325-01
3151,MW: 11:30AM-12:45PM,Society State & Power,SOCL-351-01
1469,TBA,Independent Study,SOCL-399-01
1470,TBA,Teaching Assistant,SOCL-466-01
1487,TBA,Research Assistantship,SOCL-490-01
3445,TBA,Senior Thesis Part 1,SOCL-498-01
