ID,Time,Title,Course ID
1570,M: 6:30PM-9:30PM,Visual Thinking: Design,STAR-113-01
1724,T: 1:30PM-4:30PM,Vis Think:Drawing fr Observatn,STAR-140-01
2874,W: 1:30PM-4:30PM,Vis Think:Drawing fr Observatn,STAR-140-02
2126,W: 1:30PM-4:30PM,Visual Thnkg:Drawing to Sculpt,STAR-145-01
1725,M: 1:30PM-4:30PM,Vis Think: Digital Doc Photog,STAR-150-01
3209,T: 1:30PM-4:30PM,Visual Think:Intro Printmaking,STAR-155-01
1726,W: 1:30PM-4:30PM,Art Std:Oil Painting for Today,STAR-235-01
2044,R: 1:30PM-4:30PM,Sculpture and Ideas,STAR-240-01
1734,R: 1:30PM-4:30PM,Projects in Painting,STAR-335-01
2046,R: 1:30PM-4:30PM,Sculpture and Ideas II,STAR-340-01
1538,TBA,Independent Study,STAR-399-01
2416,T: 6:30PM-9:30PM,Advanced Studio,STAR-405-01
1456,TBA,Teaching Assistant,STAR-466-01
