ID,Time,Title,Course ID
1434,MW: 1:30PM-3:30PM,Basic Acting,THDN-103-01
3302,MW: 1:30PM-3:30PM,Basic Acting,THDN-103-02
3223,TR: 9:25AM-10:40AM,Intro to Performance,THDN-107-01
1386,TBA,Performance,THDN-109-02
1387,TBA,Production,THDN-109-03
3283,MW: 11:30AM-12:45PM,Modern Dance Technique I/II,THDN-150-01
3211,TR: 10:50AM-12:05PM,Hip Hop,THDN-209-01
3224,MW: 2:55PM-4:10PM,Costume Design,THDN-214-01
3212,MW: 1:30PM-2:45PM,Making Dances,THDN-215-01
3213,TR: 4:00PM-5:30PM,Kathak: Philosophy & Practice,THDN-220-01
3216,MW: 10:00AM-11:15AM,Modern & Postmodern Theater,THDN-254-01
3293,T: 1:30PM-4:10PM,Arts in Education,THDN-272-01
1563,TBA,Stage Production,THDN-309-01
1593,TBA,Stage Production,THDN-309-02
3277,M: 11:00AM-12:45PMT: 5:00PM-7:00PM,New Beginnings,THDN-348-01
3217,TR: 1:30PM-3:30PM,Playwrights Workshop,THDN-393-01
1471,TBA,Independent Study,THDN-399-01
1472,TBA,Teaching Assistantship,THDN-466-01
3449,TBA,Senior Thesis Part 1,THDN-496-01
3458,TBA,Senior Thesis Part 1,THDN-498-01
