ID,Time,Title,Course ID
2123,TR: 10:50AM-12:05PM,Introduction to Urban Studies,URST-101-01
2419,TR: 9:25AM-10:40AM,Comp Planning Perspectives,URST-219-01
2662,TR: 2:55PM-4:10PM,The City in African Studies:,URST-260-01
2817,W: 1:30PM-4:10PM,Affordable Housing Policies,URST-319-01
2860,TR: 10:50AM-12:05PM,Race and Urban Space,URST-357-01
2825,T: 6:30PM-9:00PM,Public Management,URST-360-01
3165,R: 6:30PM-9:00PM,Leadership in the Policy Arena,URST-369-01
1716,TBA,Independent Study,URST-399-01
3162,W: 6:30PM-9:00PM,Global Studio,URST-403-01
2752,TR: 1:30PM-2:45PM,Introduction to Urban Planning,URST-433-01
1574,TBA,Teaching Assistant,URST-466-01
3464,TBA,"Senior Thesis, Part 1",URST-498-01
3247,W: 6:30PM-9:00PM,Global Studio,URST-803-01
3332,W: 1:30PM-4:10PM,Affordable Housing Policies,URST-819-01
2753,TR: 1:30PM-2:45PM,Introduction to Urban Planning,URST-833-01
2678,T: 6:30PM-9:00PM,Public Management,URST-860-01
3163,R: 6:30PM-9:00PM,Leadership in the Policy Arena,URST-869-01
