ID,Time,Title,Course ID
2582,TR: 9:25AM-10:40AM,Beginning Swimming I,WELL-101-01
3273,W: 1:30PM-4:30PM,Rock Climbing I,WELL-105-01
2585,MW: 10:00AM-11:15AM,Beginning Ice Skating,WELL-107-01
2586,TR: 9:25AM-10:40AM,Beginning Ice Skating,WELL-107-02
2589,MW: 10:00AM-11:15AM,Squash I,WELL-111-01
2590,TR: 9:25AM-10:40AM,Squash I,WELL-111-02
2593,TR: 9:25AM-10:40AM,Beginning Tennis,WELL-112-01
2594,MW: 10:00AM-11:15AM,Beginning Tennis,WELL-112-02
2597,MW: 8:30AM-9:45AM,Recreational Running/Walking I,WELL-121-01
2598,TR: 10:50AM-12:05PM,Recreational Running/Walking I,WELL-121-02
2601,TR: 9:25AM-10:40AM,Fitness I,WELL-124-01
2602,TR: 10:50AM-12:05PM,Fitness I,WELL-124-02
2604,MW: 10:00AM-11:15AM,Golf,WELL-131-01
2606,MW: 10:00AM-11:15AM,Nutrition/Sport Performance,WELL-151-01
3275,W: 1:30PM-4:30PM,Rock Climbing II,WELL-205-01
2608,MW: 10:00AM-11:15AM,Squash II,WELL-211-01
2798,TR: 9:25AM-10:40AM,Intermediate Tennis,WELL-212-01
2610,MW: 8:30AM-9:45AM,Fitness II,WELL-224-01
2491,TBA,Club Sports w/staff coaches,WELL-295-01
2492,TBA,Intercollegiate Athletics,WELL-296-01
2765,TBA,"Mind, Body and Spirit: Quest Leadership Positions",WELL-297-02
2762,TBA,Comm Hlth & Responsibility: Wilderness First Aid Course,WELL-298-01
2763,TBA,Comm Hlth & Responsibility: Intrcultural Lrning & Dialogue,WELL-298-02
2995,TBA,Comm Hlth & Responsibility: Green Dot Violence Prevention,WELL-298-03
2772,TBA,Civic & Environmntl Engagement: Ldr-Comm Srvc/Civic Engage org,WELL-299-01
2773,TBA,Civic & Environmntl Engagement: Trinfo.Cafe Youth Program Inst,WELL-299-04
2774,TBA,Civic & Environmntl Engagement: Trinfo.Cafe Stud. Ldrshp Init.,WELL-299-05
2775,TBA,Civic & Environmntl Engagement: Summer Res. & Engagmnt Grants,WELL-299-06
2993,TBA,Civic & Environmntl Engagement: Trin – HMTCA Tutors,WELL-299-07
2776,TBA,"Civic & Environmntl Engagement: Quest, wilderness",WELL-299-09
