ID,Time,Title,Course ID
3291,TR: 1:30PM-2:45PM,Before Lady Gaga and Beyoncé,WMGS-150-01
2493,TR: 9:25AM-10:40AM,Gender & Sexuality/Transnatl,WMGS-201-01
3234,TR: 2:55PM-4:10PM,War and the Asian Diaspora,WMGS-209-01
3048,TR: 1:30PM-2:45PM,Global Intimacies,WMGS-211-01
2512,MW: 11:30AM-12:45PM,Afro-European Feminisms,WMGS-221-01
2761,W: 1:30PM-4:10PM,Sociology of Gender,WMGS-246-01
2496,T: 6:30PM-9:10PM,Film Noir,WMGS-345-01
3013,W: 1:30PM-4:10PM,Hitchcock,WMGS-373-01
1473,TBA,Independent Study,WMGS-399-01
1476,TBA,Teaching Assistant,WMGS-466-01
2273,TBA,Research Assistantship,WMGS-490-01
3468,TBA,Senior Thesis,WMGS-497-01
3469,TBA,Senior Thesis Part 1,WMGS-498-01
